hostname,temp,filesize_mb,date,part_count
RFLX-013,H,647.9,4/22/2024,44464
5400-037,A,31.25,4/22/2024,2546
UFLX-060,A,461.98,4/22/2024,5040
STS-181,C,1424.21,4/22/2024,13521
MFLX-175,A,388.19,4/22/2024,31533
5400-025,A,174.59,4/22/2024,2809
MFLX-214,A,271.51,4/22/2024,51115
MFLX-219,A,428.32,4/22/2024,1820
UFLX-049,A,355.61,4/22/2024,4180
ctsq35,NA,39.08,4/22/2024,38085
STS-345,H,1250.59,4/22/2024,22196
MFLX-121,NA,181.25,4/22/2024,24337
MFLX-171,H,118.51,4/22/2024,4088
pilct01,NA,0.82,4/22/2024,2100
UFLX-062,A,122.81,4/22/2024,3634
STS-013,H,1742.35,4/22/2024,23190
5400-024,NA,7.68,4/22/2024,2231
ctsq84,NA,31.5,4/22/2024,38255
cts12,NA,13.06,4/22/2024,23122
cts56,NA,5.7,4/22/2024,12352
MFLX-011,A,292.22,4/22/2024,44421
MFLX-187,A,177.27,4/22/2024,31559
5400-044,A,19.17,4/22/2024,3758
STS-309,H,1188.07,4/22/2024,21019
lct50,NA,37.91,4/22/2024,36744
MFLX-160,A,255.16,4/22/2024,20906
MFLX-049,A,1495.5,4/22/2024,10747
5400-039,A,15.53,4/22/2024,1292
UFLX-054,A,129.62,4/22/2024,3700
ctsq47,NA,9,4/22/2024,8633
FLEX-014,A,95.94,4/22/2024,16724
MFLX-006,A,110.41,4/22/2024,15770
STS-246,A,237.14,4/22/2024,1492
STS-355,H,930.21,4/22/2024,16381
STS-346,NA,113.37,4/22/2024,6893
MFLX-037,A,106.02,4/22/2024,5200
lct25,NA,15.54,4/22/2024,60254
UFLX-006,A,549.99,4/22/2024,3782
MFLX-156,A,553.34,4/22/2024,12600
ate06,NA,45.06,4/22/2024,1596
ctsq69,NA,1.81,4/22/2024,1132
cts17,NA,5.48,4/22/2024,4277
hscq48,NA,7.33,4/22/2024,15409
ctsq68,NA,32.69,4/22/2024,18994
lct65,A,2.38,4/22/2024,11015
UFLX-064,NA,183.95,4/22/2024,3882
5400-017,A,13.03,4/22/2024,1404
STS-008,H,583.91,4/22/2024,16947
MFLX-120,H,48.75,4/22/2024,9589
RFLX-004,A,218.2,4/22/2024,14687
ctsq90,NA,0.28,4/22/2024,873
STS-338,A,1440.68,4/22/2024,869
lct16,NA,21.48,4/22/2024,19111
UFLX-017,C,538.23,4/22/2024,6740
lct63,NA,8.94,4/22/2024,23650
MFLX-180,A,106.03,4/22/2024,5200
STS-365,A,1627.51,4/22/2024,1092
MFLX-212,A,37.64,4/22/2024,3686
MFLX-009,NA,373.95,4/22/2024,29886
UFLX-078,C,520.81,4/22/2024,6592
MFLX-092,A,60.91,4/22/2024,6097
MFLX-144,A,63.59,4/22/2024,3120
STS-370,A,40.55,4/22/2024,4721
RFLX-007,A,162.06,4/22/2024,2156
5400-022,NA,55.87,4/22/2024,2336
STS-311,A,221.24,4/22/2024,1405
lct27,A,14.35,4/22/2024,35904
MFLX-087,A,40.58,4/22/2024,5896
MFLX-143,A,95.75,4/22/2024,13520
5400-045,NA,8.39,4/22/2024,756
STS-213,A,814.12,4/22/2024,499
STS-010,C,602.04,4/22/2024,10440
MFLX-064,A,447.26,4/22/2024,3277
MFLX-099,H,551.32,4/22/2024,41652
STS-389,A,110.13,4/22/2024,670
STS-315,A,124.52,4/22/2024,13496
MFLX-016,A,34.1,4/22/2024,3618
MFLX-189,H,185.95,4/22/2024,25395
STS-230,A,548.64,4/22/2024,360
hsc09,NA,5.31,4/22/2024,5519
5400-016,A,3.3,4/22/2024,396
MFLX-010,NA,52.18,4/22/2024,12621
MFLX-154,H,157.55,4/22/2024,19985
STS-003A,H,431.02,4/22/2024,12830
5400-023,A,4.35,4/22/2024,1220
MFLX-100,A,105.39,4/22/2024,5200
MFLX-078,H,40.7,4/22/2024,19232
5400-035,NA,26.55,4/22/2024,2263
STS-363,A,1208.96,4/22/2024,838
5400-026,A,8.31,4/22/2024,666
STS-382,H,245.94,4/22/2024,4409
ctsq31,NA,6.46,4/22/2024,1403
MFLX-103,NA,32.79,4/22/2024,7853
lct56,A,5.33,4/22/2024,8024
hscq36,NA,0.28,4/22/2024,956
UFLX-047,NA,166.95,4/22/2024,3173
STS-352,A,542.95,4/22/2024,417
STS-266,H,455.87,4/22/2024,19745
STS-399,A,183.39,4/22/2024,1232
MFLX-088,A,59.91,4/22/2024,2130
STS-349,A,750.47,4/22/2024,504
STS-392,H,163.16,4/22/2024,2940
STS-301,A,374.04,4/22/2024,21266
UFLX-079,C,534.37,4/22/2024,6565
hscq45,NA,1.13,4/22/2024,1313
MFLX-072,NA,118.5,4/22/2024,24387
STS-316,A,37.61,4/22/2024,17515
STS-129,C,64.22,4/22/2024,2070
STS-115,H,65.8,4/22/2024,9600
MFLX-090,A,37.27,4/22/2024,3920
MFLX-047,H,10.19,4/22/2024,574
STS-014,C,603.02,4/22/2024,16559
RFLX-012,A,2.15,4/22/2024,150
hsc10,NA,0.76,4/22/2024,1315
UFLX-080,NA,2065,4/22/2024,14938
MFLX-066,NA,50.71,4/22/2024,247
UFLX-020,NA,16.68,4/22/2024,512
MFLX-178,H,144.11,4/22/2024,31997
MFLX-093,A,7.04,4/22/2024,1597
MFLX-019,A,5.94,4/22/2024,420
MFLX-108,H,36.17,4/22/2024,6884
MFLX-192,H,1.01,4/22/2024,125
5400-007,NA,6.36,4/22/2024,594
STS-208,A,501.52,4/22/2024,336
MFLX-023,NA,81.62,4/22/2024,4061
ate12,NA,1.75,4/22/2024,168
cts07,NA,0.06,4/22/2024,128
STS-379,A,1398.1,4/22/2024,945
lct44,A,6.04,4/22/2024,3920
ctsq23,H,8.11,4/22/2024,2700
hscq30,NA,0.14,4/22/2024,838
MFLX-025,NA,10.66,4/22/2024,427
MFLX-076,NA,40.6,4/22/2024,32684
STS-134,C,71.8,4/22/2024,2254
STS-100,C,73.11,4/22/2024,2254
STS-092,C,71.31,4/22/2024,2254
MFLX-136,NA,17.76,4/22/2024,1484
MFLX-110,NA,17.02,4/22/2024,1606
STS-122,A,69.78,4/22/2024,2254
MFLX-075,NA,17.75,4/22/2024,23786
MFLX-165,A,46.55,4/22/2024,17649
STS-128,C,71,4/22/2024,2254
MFLX-060,NA,17.51,4/22/2024,23434
STS-095,C,70.66,4/22/2024,2254
MFLX-139,NA,71.75,4/22/2024,711
MFLX-140,NA,23.2,4/22/2024,225
MFLX-186,NA,23.23,4/22/2024,225
UFLX-077,C,475.21,4/22/2024,2910
STS-120,C,70.81,4/22/2024,2254
lct79,NA,1.91,4/22/2024,4658
STS-121,C,83.32,4/22/2024,10090
hscq47,NA,6.52,4/22/2024,9304
MFLX-036,C,2.22,4/22/2024,967
UFLX-030,A,13.66,4/22/2024,221
STS-351,A,608.38,4/22/2024,420
STS-317,A,4.17,4/22/2024,500
MFLX-168,A,6.35,4/22/2024,2540
STS-011,NA,13.51,4/22/2024,675
5400-032,NA,27.19,4/22/2024,2893
MFLX-091,A,102.29,4/22/2024,379
STS-240,C,16.51,4/22/2024,731
MFLX-058,NA,6.5,4/22/2024,500
STS-372,A,58.74,4/22/2024,383
MFLX-079,A,29.7,4/22/2024,14018
MFLX-069,A,14.54,4/22/2024,1921
MFLX-200,A,1.61,4/22/2024,377
ETS88-019,A,0.15,4/22/2024,125
STS-378,H,320.85,4/22/2024,13680
STS-388,A,0.56,4/22/2024,117
STS-360,A,106.44,4/22/2024,6028
STS-393,H,104.84,4/22/2024,1866
cts69,NA,0.08,4/22/2024,117
MFLX-190,C,47.41,4/22/2024,19171
STS-132,C,71.44,4/22/2024,2254
ETS88-014,H,0.63,4/22/2024,614
STS-076,A,6.11,4/22/2024,392
MFLX-218,A,1.76,4/22/2024,500
STS-091,H,1.16,4/22/2024,392
STS-357,A,430.96,4/22/2024,333
MFLX-077,A,107.54,4/22/2024,384
hsc11,NA,0.06,4/22/2024,125
ctsq82,NA,0.81,4/22/2024,1176
ctsq04,NA,0.52,4/22/2024,125
ctsq25,NA,4.25,4/22/2024,2251
ctsq48,NA,0.09,4/22/2024,192
STS-400,C,360.21,4/22/2024,12290
cts07,NA,5.23,4/22/2024,4995
ctsq25,NA,1.14,4/22/2024,717
ctsq48,NA,0.07,4/22/2024,431
hsc11,NA,1.9,4/22/2024,4598
hscq03,NA,3.25,4/22/2024,900
hscq24,NA,0.57,4/22/2024,1484
hscq30,NA,0.16,4/22/2024,500
MFLX-162,NA,71.44,4/22/2024,710
UFLX-064,NA,114.73,4/22/2024,2339
MFLX-136,NA,17.59,4/22/2024,1518
MFLX-076,NA,47.28,4/22/2024,38082
MFLX-110,NA,16.61,4/22/2024,1709
MFLX-186,NA,25.12,4/22/2024,221
MFLX-140,NA,24.79,4/22/2024,221
MFLX-066,NA,44.46,4/22/2024,233
MFLX-075,NA,17.49,4/22/2024,23382
MFLX-075,NA,17.66,4/22/2024,23587
MFLX-060,NA,17.55,4/22/2024,23439
lct97,NA,3.88,4/22/2024,9421
lct56,A,2.25,4/22/2024,3372
MFLX-060,NA,17.54,4/22/2024,23428
lct65,A,0.35,4/22/2024,1764
lct69,NA,2.23,4/22/2024,1497
MFLX-025,NA,10.71,4/22/2024,429
hscq50,NA,5.81,4/22/2024,9440
lct79,NA,11.68,4/22/2024,28380
STS-134,C,71.56,4/22/2024,2254
hscq53,NA,0.22,4/22/2024,125
STS-092,C,71.46,4/22/2024,2254
STS-100,C,73.03,4/22/2024,2254
STS-128,C,70.64,4/22/2024,2254
MFLX-217,A,28.96,4/22/2024,1960
MFLX-135,NA,42.32,4/22/2024,2107
STS-272,C,179.63,4/22/2024,5962
STS-368,A,1.03,4/22/2024,150
MFLX-019,A,3.24,4/22/2024,125
MFLX-214,A,7.41,4/22/2024,3923
MFLX-045,NA,2.17,4/22/2024,196
MFLX-037,A,1.93,4/22/2024,127
STS-305,A,2.88,4/22/2024,310
STS-305,A,384.22,4/22/2024,21865
MFLX-054,A,2.65,4/22/2024,7119
5400-021,NA,12.87,4/22/2024,726
MFLX-040,A,6.61,4/22/2024,1449
STS-081,C,69.95,4/22/2024,2254
MFLX-055,A,25.49,4/22/2024,8928
STS-132,C,70.8,4/22/2024,2254
RFLX-012,A,3.26,4/22/2024,240
ETS88-004,A,0.24,4/22/2024,188
STS-070,H,10.91,4/22/2024,2151
MFLX-218,A,0.19,4/22/2024,158
ctsq54,NA,0.14,4/22/2024,162
5400-048,A,1.66,4/22/2024,136
ctsq54,NA,0.15,4/22/2024,124
STS-081,C,70.32,4/22/2024,2254
ctsq82,NA,0.22,4/22/2024,188
hscq30,NA,0.03,4/22/2024,102
ctsq84,NA,0.6,4/22/2024,740
STS-095,C,70.41,4/22/2024,2254
lct25,NA,0.05,4/22/2024,192
STS-120,C,71.18,4/22/2024,2254
MFLX-136,NA,17.59,4/22/2024,1521
STS-122,C,71.28,4/22/2024,2254
STS-316,A,37.4,4/22/2024,17321
MFLX-072,NA,118.71,4/22/2024,24289
MFLX-110,C,17.14,4/22/2024,1626
STS-134,C,72.13,4/22/2024,2254
MFLX-186,NA,23.47,4/22/2024,226
MFLX-186,NA,24.58,4/22/2024,223
MFLX-025,NA,10.8,4/22/2024,429
MFLX-075,NA,17.38,4/22/2024,23218
MFLX-060,NA,17.52,4/22/2024,23442
MFLX-075,NA,17.48,4/22/2024,23344
STS-121,C,83.36,4/22/2024,10090
MFLX-140,NA,23.82,4/22/2024,222
MFLX-140,NA,23.79,4/22/2024,222
STS-092,C,71.72,4/22/2024,2254
MFLX-036,C,9.95,4/22/2024,4359
UFLX-078,C,22.69,4/22/2024,225
MFLX-143,A,1.81,4/22/2024,265
STS-213,A,229.71,4/22/2024,147
MFLX-004,A,6.78,4/22/2024,1062
MFLX-037,A,18.97,4/22/2024,1040
MFLX-120,H,1.08,4/22/2024,264
STS-240,C,45.57,4/22/2024,1573
MFLX-192,H,1.89,4/22/2024,1754
STS-247,C,250.28,4/22/2024,8486
MFLX-144,A,4,4/22/2024,259
STS-247,C,3.47,4/22/2024,112
MFLX-047,H,3.37,4/22/2024,119
STS-349,A,765.93,4/22/2024,586
STS-360,A,102.6,4/22/2024,5837
STS-208,A,741.97,4/22/2024,581
MFLX-142,NA,2.73,4/22/2024,12699
STS-008,H,8.11,4/22/2024,269
RFLX-009,A,57.28,4/22/2024,3496
STS-132,C,71.1,4/22/2024,2254
MFLX-161,A,0.87,4/22/2024,382
STS-361,A,54.56,4/22/2024,640
STS-070,H,0.41,4/22/2024,119
cts56,NA,0.25,4/22/2024,500
ctsq48,NA,0.24,4/22/2024,500
ctsq26,NA,4.04,4/22/2024,490
ctsq35,NA,0.53,4/22/2024,572
lct56,A,0.05,4/22/2024,128
lct98,A,0.09,4/22/2024,323
MFLX-025,NA,10.77,4/22/2024,428
lct65,A,0.09,4/22/2024,384
lct98,A,0.05,4/22/2024,158
cts12,NA,1.12,4/22/2024,2217
hscq24,NA,0.19,4/22/2024,557
lct56,NA,0.22,4/22/2024,500
lct97,NA,0.16,4/22/2024,402
lct98,A,5.82,4/22/2024,19930
MFLX-136,NA,17.75,4/22/2024,1512
STS-128,C,72.06,4/22/2024,2254
MFLX-181,A,3.45,4/22/2024,8269
MFLX-110,NA,16.68,4/22/2024,1655
MFLX-140,NA,23.21,4/22/2024,223
STS-120,C,71.76,4/22/2024,2254
STS-368,C,1.02,4/22/2024,150
MFLX-143,A,1.53,4/22/2024,500
MFLX-060,NA,2.48,4/22/2024,500
STS-122,C,71.81,4/22/2024,2254
MFLX-060,NA,2.48,4/22/2024,500
MFLX-186,NA,24.28,4/22/2024,223
MFLX-186,NA,16.27,4/22/2024,144
STS-129,C,8.5,4/22/2024,279
MFLX-041,A,1.07,4/22/2024,288
STS-100,C,73.29,4/22/2024,2254
5400-042,A,4.01,4/22/2024,793
UFLX-060,A,24.05,4/22/2024,310
MFLX-112,A,9.19,4/22/2024,1669
5400-032,NA,1.59,4/22/2024,152
UFLX-006,A,16.27,4/22/2024,110
MFLX-168,A,1.59,4/22/2024,1072
STS-081,C,72.01,4/22/2024,2254
STS-275,C,620.16,4/22/2024,20727
MFLX-144,A,19.02,4/22/2024,1040
STS-315,A,0.94,4/22/2024,116
5400-022,NA,19.13,4/22/2024,800
MFLX-212,A,2.14,4/22/2024,218
MFLX-218,A,21.26,4/22/2024,6161
5400-019,A,8.48,4/22/2024,633
MFLX-219,A,67.75,4/22/2024,255
STS-357,A,211.77,4/22/2024,142
5400-048,A,2.73,4/22/2024,276
STS-008,H,34.38,4/22/2024,1148
5400-001,A,0.12,4/22/2024,218
lct01,C,0.66,4/22/2024,1366
STS-134,C,71.11,4/22/2024,2254
MFLX-076,NA,77.85,4/22/2024,13234
MFLX-087,A,16.34,4/22/2024,3080
MFLX-136,NA,17.55,4/22/2024,1520
STS-129,C,72.2,4/22/2024,2254
STS-095,C,71.11,4/22/2024,2254
STS-115,H,131.87,4/22/2024,18816
MFLX-025,NA,10.98,4/22/2024,427
MFLX-110,NA,16.66,4/22/2024,1642
STS-128,C,71.52,4/22/2024,2254
lct25,NA,0.02,4/22/2024,192
lct63,NA,0.41,4/22/2024,1128
MFLX-140,NA,23.91,4/22/2024,222
MFLX-139,NA,70.08,4/22/2024,711
lct16,NA,0.23,4/22/2024,247
MFLX-140,NA,24.56,4/22/2024,221
MFLX-075,NA,17.64,4/22/2024,23567
lct65,A,0.18,4/22/2024,293
lct56,NA,1.44,4/22/2024,4467
MFLX-075,NA,17.6,4/22/2024,23510
lct25,NA,0.09,4/22/2024,960
STS-121,C,83.23,4/22/2024,10090
STS-092,C,71.81,4/22/2024,2254
MFLX-186,A,23.57,4/22/2024,225
STS-037,A,42.33,4/22/2024,24279
STS-120,C,71.75,4/22/2024,2254
STS-037,A,0.86,4/22/2024,506
MFLX-045,NA,75.18,4/22/2024,6377
MFLX-135,NA,4.94,4/22/2024,242
MFLX-175,A,11.83,4/22/2024,1618
RFLX-004,A,13.79,4/22/2024,1065
STS-251,C,429.02,4/22/2024,14299
STS-011,NA,13.19,4/22/2024,658
STS-236,H,478.65,4/22/2024,8447
STS-308,A,144.25,4/22/2024,8233
ltx10s,NA,0.45,4/22/2024,116
ltx6m,NA,2.15,4/22/2024,560
MFLX-195,A,91.58,4/22/2024,6513
RFLX-003,A,0.54,4/22/2024,286
MFLX-168,A,0.71,4/22/2024,200
5400-032,NA,3.94,4/22/2024,125
MFLX-108,H,31.57,4/22/2024,5701
ltx9m,NA,0.46,4/22/2024,432
FLEX-014,A,12.17,4/22/2024,2409
STS-275,C,9.95,4/22/2024,315
STS-286,H,543.26,4/22/2024,9800
STS-275,C,14.72,4/22/2024,588
MFLX-192,H,0.21,4/22/2024,173
ltx9m,NA,0.62,4/22/2024,291
ltx9m,NA,0.32,4/22/2024,115
ltx9m,NA,0.25,4/22/2024,114
ltx9m,NA,0.24,4/22/2024,111
ltx9m,NA,0.53,4/22/2024,187
MFLX-040,A,19.04,4/22/2024,3884
MFLX-011,C,10.32,4/22/2024,5889
STS-338,A,205.59,4/22/2024,116
STS-360,A,253.46,4/22/2024,14012
STS-132,C,71,4/22/2024,2254
ETS88-019,A,0.6,4/22/2024,407
MFLX-212,A,1.24,4/22/2024,125
ctsq23,H,0.54,4/22/2024,179
cts54,NA,0.07,4/22/2024,116
ate12,NA,5.05,4/22/2024,296
ctsq35,NA,0.29,4/22/2024,500
lct63,NA,0.21,4/22/2024,588
ctsq47,NA,0.1,4/22/2024,143
hscq45,NA,0.29,4/22/2024,400
MFLX-162,NA,72.66,4/22/2024,710
MFLX-136,NA,17.37,4/22/2024,1536
STS-081,C,72.6,4/22/2024,2254
MFLX-025,NA,10.89,4/22/2024,427
ctsq81,A,0.6,4/22/2024,200
MFLX-075,NA,17.61,4/22/2024,23525
lct97,NA,0.16,4/22/2024,392
MFLX-115,NA,0.25,4/22/2024,206
MFLX-186,NA,25.32,4/22/2024,221
MFLX-140,NA,23.3,4/22/2024,221
MFLX-072,NA,118.79,4/22/2024,24299
MFLX-110,NA,16.7,4/22/2024,1666
lct68,NA,0.64,4/22/2024,588
MFLX-115,NA,0.24,4/22/2024,158
lct73,C,0.52,4/22/2024,628
MFLX-115,NA,0.23,4/22/2024,127
MFLX-060,NA,2.48,4/22/2024,500
UFLX-020,NA,5.83,4/22/2024,162
STS-122,C,72.15,4/22/2024,2254
STS-134,C,71.39,4/22/2024,2254
STS-129,C,72.99,4/22/2024,2254
STS-092,C,71.73,4/22/2024,2254
STS-100,C,72.72,4/22/2024,2254
STS-095,C,70.23,4/22/2024,2254
MFLX-004,A,0.96,4/22/2024,160
5400-032,NA,17.01,4/22/2024,796
MFLX-120,A,15.41,4/22/2024,3338
MFLX-192,H,2.64,4/22/2024,700
ETS88-014,C,0.9,4/22/2024,1005
STS-132,C,71.26,4/22/2024,2254
STS-091,H,44.42,4/22/2024,15867
MFLX-171,H,11.09,4/22/2024,461
MFLX-049,A,47.99,4/22/2024,385
MFLX-180,A,3.36,4/22/2024,214
STS-345,H,134.84,4/22/2024,2450
MFLX-025,NA,10.96,4/22/2024,427
lct73,C,0.14,4/22/2024,165
MFLX-115,NA,0.59,4/22/2024,124
lct50,NA,0.22,4/22/2024,200
5400-034,NA,3.47,4/22/2024,530
5400-034,NA,0.07,4/22/2024,530
MFLX-075,NA,17.55,4/22/2024,23436
lct27,A,0.2,4/22/2024,500
MFLX-075,NA,17.68,4/22/2024,23699
lct16,NA,0.5,4/22/2024,475
lct97,NA,14.32,4/22/2024,20850
STS-128,C,70.51,4/22/2024,2254
MFLX-136,NA,17.75,4/22/2024,1469
MFLX-060,NA,2.48,4/22/2024,500
STS-120,C,71.9,4/22/2024,2254
STS-316,A,0.51,4/22/2024,244
MFLX-140,NA,23.7,4/22/2024,222
STS-134,C,71.8,4/22/2024,2254
STS-121,C,83.32,4/22/2024,10090
MFLX-186,NA,24.66,4/22/2024,225
STS-092,C,71.77,4/22/2024,2254
STS-129,C,71.75,4/22/2024,2254
STS-100,C,72.21,4/22/2024,2254
STS-037,A,0.68,4/22/2024,384
MFLX-004,A,0.75,4/22/2024,116
MFLX-135,NA,39.57,4/22/2024,1931
STS-081,C,72.06,4/22/2024,2254
RFLX-004,A,5.83,4/22/2024,509
STS-003A,H,20.69,4/22/2024,799
UFLX-006,A,18.37,4/22/2024,125
FLEX-014,A,2.97,4/22/2024,500
MFLX-040,A,1.3,4/22/2024,315
5400-021,NA,0.3,4/22/2024,250
STS-338,A,213.92,4/22/2024,134
STS-363,A,229.08,4/22/2024,168
MFLX-023,A,5.49,4/22/2024,500
STS-268,A,381,4/22/2024,21793
MFLX-189,H,5.68,4/22/2024,793
STS-013,H,71.41,4/22/2024,928
STS-014,C,20.88,4/22/2024,615
RFLX-009,A,4.93,4/22/2024,326
RFLX-009,A,2.11,4/22/2024,125
hsc10,NA,0.07,4/22/2024,125
ctsq48,NA,0.16,4/22/2024,192
MFLX-140,NA,24.19,4/22/2024,224
MFLX-025,NA,11,4/22/2024,428
lct93,C,0.61,4/22/2024,800
lct56,NA,1.22,4/22/2024,4403
MFLX-110,NA,16.79,4/22/2024,1642
STS-122,C,72.56,4/22/2024,2254
STS-095,C,70.93,4/22/2024,2254
UFLX-062,A,8.3,4/22/2024,243
MFLX-186,NA,24.93,4/22/2024,223
STS-128,C,70.67,4/22/2024,2254
STS-120,C,71.48,4/22/2024,2254
STS-368,H,6.88,4/22/2024,1031
MFLX-181,A,1.38,4/22/2024,2823
MFLX-175,A,2.14,4/22/2024,200
MFLX-225,C,6.38,4/22/2024,125
RFLX-004,A,7.51,4/22/2024,500
STS-003A,H,29.39,4/22/2024,1144
STS-247,C,247.39,4/22/2024,8316
5400-035,NA,2.33,4/22/2024,182
STS-081,A,70.67,4/22/2024,2254
STS-370,A,6.35,4/22/2024,815
STS-132,C,71.08,4/22/2024,2254
ETS88-004,A,0.22,4/22/2024,283
STS-268,A,6.31,4/22/2024,622
STS-091,H,1.16,4/22/2024,392
MFLX-189,H,2.88,4/22/2024,390
STS-076,A,0.34,4/22/2024,160
MFLX-218,A,0.86,4/22/2024,330
STS-400,C,8.2,4/22/2024,426
ctsq35,NA,0.19,4/22/2024,224
MFLX-218,A,0.45,4/22/2024,125
ctsq31,NA,0.95,4/22/2024,221
ctsq68,NA,0.12,4/22/2024,244
lct38,NA,0.18,4/22/2024,200
MFLX-136,NA,17.39,4/22/2024,1543
STS-134,C,72.02,4/22/2024,2254
lct98,A,0.15,4/22/2024,500
MFLX-186,NA,25.45,4/22/2024,235
MFLX-075,NA,17.46,4/22/2024,23375
MFLX-181,A,0.19,4/22/2024,3164
MFLX-165,A,0.69,4/22/2024,490
MFLX-181,A,3.9,4/22/2024,8269
lct98,A,0.05,4/22/2024,158
MFLX-025,NA,11.04,4/22/2024,427
MFLX-115,NA,4.54,4/22/2024,800
MFLX-076,NA,7.39,4/22/2024,2939
lct98,A,0.05,4/22/2024,165
MFLX-060,NA,2.48,4/22/2024,500
MFLX-060,NA,2.48,4/22/2024,500
STS-346,A,0.15,4/22/2024,116
STS-121,C,83.41,4/22/2024,10090
STS-092,C,72.06,4/22/2024,2254
MFLX-214,A,0.61,4/22/2024,200
MFLX-154,H,1.99,4/22/2024,240
MFLX-106,NA,0.09,4/22/2024,105
MFLX-120,A,1.78,4/22/2024,384
MFLX-108,H,1.5,4/22/2024,274
MFLX-195,A,4.26,4/22/2024,347
STS-240,C,58.47,4/22/2024,1974
RFLX-003,A,0.96,4/22/2024,384
MFLX-100,A,3.7,4/22/2024,211
5400-021,NA,2.16,4/22/2024,125
ETS88-019,A,4.56,4/22/2024,3243
STS-260,H,1295.99,4/22/2024,22922
cts54,NA,0.11,4/22/2024,189
lct98,A,0.05,4/22/2024,165
lct98,A,0.05,4/22/2024,158
lct98,A,0.08,4/22/2024,266
ctsq68,NA,0.78,4/22/2024,500
MFLX-075,NA,17.5,4/22/2024,23380
MFLX-186,NA,25.18,4/22/2024,222
STS-368,A,1.58,4/22/2024,150
MFLX-135,NA,2.96,4/22/2024,160
STS-368,A,6.83,4/22/2024,479
MFLX-045,NA,2.33,4/22/2024,231
MFLX-137,A,7.89,4/22/2024,1195
STS-245,C,592.24,4/22/2024,20206
5400-016,A,35.8,4/21/2024,2858
ate12,NA,123.7,4/21/2024,3797
hscq24,NA,10.75,4/21/2024,26814
MFLX-213,A,487.67,4/21/2024,2078
5400-026,A,31.13,4/21/2024,2600
ctsq56,NA,19.89,4/21/2024,17769
MFLX-120,H,160.86,4/21/2024,31724
MFLX-185,NA,200.1,4/21/2024,24288
STS-313,A,497.7,4/21/2024,3349
MFLX-091,A,442.94,4/21/2024,1807
MFLX-057,A,197.47,4/21/2024,28770
MFLX-077,A,430.82,4/21/2024,1815
STS-397,A,394.15,4/21/2024,2693
MFLX-009,A,1109.15,4/21/2024,37011
STS-237,H,1219.24,4/21/2024,21699
MFLX-023,NA,540.43,4/21/2024,27391
ctsq78,A,63.37,4/21/2024,21683
picts03,A,0.47,4/21/2024,260
UFLX-054,A,138,4/21/2024,3946
ctsq47,NA,9.7,4/21/2024,9358
picts02,H,0.11,4/21/2024,112
STS-399,A,429.44,4/21/2024,2867
MFLX-058,A,888.68,4/21/2024,29578
5400-007,A,23.13,4/21/2024,2000
MFLX-088,H,70.81,4/21/2024,2464
STS-108,C,1461.71,4/21/2024,16976
5400-048,A,17.07,4/21/2024,1350
MFLX-112,A,190.05,4/21/2024,8366
MFLX-167,NA,209.3,4/21/2024,6961
MFLX-137,H,74.64,4/21/2024,43076
ctsq86,NA,7.96,4/21/2024,7748
hscq03,NA,23.81,4/21/2024,8486
MFLX-165,A,166.4,4/21/2024,33373
5400-022,NA,88.18,4/21/2024,3561
5400-047,A,23.09,4/21/2024,2299
lct01,C,0.9,4/21/2024,1780
5400-041,A,9.07,4/21/2024,728
MFLX-092,A,152.62,4/21/2024,15059
MFLX-189,H,162.73,4/21/2024,40918
MFLX-218,A,145.51,4/21/2024,27640
ctsq46,NA,4.44,4/21/2024,13312
UFLX-047,NA,211.87,4/21/2024,4183
RFLX-004,H,207.23,4/21/2024,13924
MFLX-036,H,289.6,4/21/2024,48573
STS-355,H,706.74,4/21/2024,12450
MFLX-163,NA,209.26,4/21/2024,7020
MFLX-019,A,99.34,4/21/2024,4004
STS-010,C,606.25,4/21/2024,16556
MFLX-096,A,175.74,4/21/2024,25338
MFLX-047,H,57.01,4/21/2024,2083
MFLX-204,C,144.81,4/21/2024,6799
STS-349,A,1510.02,4/21/2024,1008
MFLX-180,A,106.93,4/21/2024,5200
lct29,H,6.42,4/21/2024,40234
ate04,NA,23.89,4/21/2024,1262
MFLX-087,A,58.89,4/21/2024,7609
MFLX-212,A,53.35,4/21/2024,5232
ctsq13,NA,21.88,4/21/2024,6905
STS-015,C,805.12,4/21/2024,26857
MFLX-162,NA,68.89,4/21/2024,820
STS-351,A,1686.76,4/21/2024,1152
RFLX-007,A,330.15,4/21/2024,4008
STS-388,A,132.23,4/21/2024,16443
MFLX-103,NA,52.48,4/21/2024,12655
lct56,C,7.39,4/21/2024,13150
ctsq81,H,22.04,4/21/2024,7296
MFLX-035,A,24.73,4/21/2024,2124
MFLX-178,A,121.79,4/21/2024,32827
5400-017,A,6.38,4/21/2024,684
UFLX-006,A,82.96,4/21/2024,560
MFLX-064,A,729.07,4/21/2024,5142
MFLX-108,H,34.49,4/21/2024,6584
UFLX-025,A,88.31,4/21/2024,3543
5400-035,NA,27.88,4/21/2024,2445
MFLX-079,A,70.35,4/21/2024,33380
STS-230,A,771.74,4/21/2024,480
RFLX-008,A,257.55,4/21/2024,17310
5400-015,A,26.63,4/21/2024,520
STS-208,A,1456.25,4/21/2024,975
STS-311,A,127.79,4/21/2024,783
ctsq16,NA,1.73,4/21/2024,16194
